,Units,Location,Direction,Theta_0,Theta_1,Family,Blocks,Inactive,Designation,Description
B.20.11.121,ft2,1,1,1800,0.15,lognormal,,,Cladding,"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard and hold-downs"
B.20.11.121,ft2,1,2,1200,0.15,lognormal,,,Cladding,"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard no hold-downs"
B.20.11.121,ft2,"2,3",1,1440,0.15,lognormal,,,Cladding,"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard no hold-downs"
B.20.11.121,ft2,"2,3",2,960,0.15,lognormal,,,Cladding,"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard no hold-downs"
B.20.22.001,ft2,1,1,2700,0.15,lognormal,,,Cladding,"Curtain Walls - Generic Midrise Stick-Built Curtain wall, Config: Monolithic, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5,  Other details Unknown"
B.20.22.001,ft2,1,2,1800,0.15,lognormal,,,Cladding,"Curtain Walls - Generic Midrise Stick-Built Curtain wall, Config: Monolithic, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5,  Other details Unknown"
B.20.22.001,ft2,"2,3",1,2160,0.15,lognormal,,,Cladding,"Curtain Walls - Generic Midrise Stick-Built Curtain wall, Config: Monolithic, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5,  Other details Unknown"
B.20.22.001,ft2,"2,3",2,1440,0.15,lognormal,,,Cladding,"Curtain Walls - Generic Midrise Stick-Built Curtain wall, Config: Monolithic, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5,  Other details Unknown"
B.30.11.011,ft2,roof,0,4050,0.1,lognormal,,,"Architectural, other","Concrete tile roof, tiles secured and compliant with UBC94"
C.10.11.001a,ft,all,1,900,0.3,lognormal,,,Partitions,"Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Fixed Above"
C.10.11.001a,ft,all,2,600,0.3,lognormal,,,Partitions,"Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Fixed Above"
C.20.11.001a,ea,all,1,1,,,,,"Architectural, other",Prefabricated steel stair with steel treads and landings with seismic joints that accommodate drift.
C.20.11.001a,ea,all,2,2,,,,,"Architectural, other",Prefabricated steel stair with steel treads and landings with seismic joints that accommodate drift.
C.30.21.001k,ft2,all,0,15000,0.3,lognormal,,,Flooding,Generic Floor Covering - Flooding of floor caused by failure of pipe - Retail - Dry
C.30.27.002,ft2,all,0,11250,0.15,lognormal,,,"Architectural, other","Raised Access Floor, seismically rated."
C.30.32.003a,ft2,all,0,300,0.15,lognormal,,,Ceilings,"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): A < 250, Vert & Lat support"
C.30.32.003a,ft2,all,0,450,0.15,lognormal,,,Ceilings,"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): A < 250, Vert & Lat support"
C.30.32.003a,ft2,all,0,750,0.15,lognormal,,,Ceilings,"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): A < 250, Vert & Lat support"
C.30.32.003a,ft2,all,0,13500,0.15,lognormal,,,Ceilings,"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): A < 250, Vert & Lat support"
C.30.34.002,ea,all,0,210,0.2,lognormal,,,"Architectural, other",Independent Pendant Lighting - seismically rated
D.10.14.011,ea,1,0,2,0.1,lognormal,,,MEP,"Traction Elevator – Applies to most California Installations 1976 or later, most western states installations 1982 or later and most other U.S installations 1998 or later."
D.20.21.013a,ft,all,0,630,0.1,lognormal,,,MEP,"Cold or Hot Potable  - Small Diameter Threaded Steel - (2.5 inches in diameter or less), SDC D, E, or F, PIPING FRAGILITY"
D.20.31.013b,ft,all,0,270,0.1,lognormal,,,MEP,"Sanitary Waste Piping - Cast Iron w/flexible couplings, SDC D,E,F, BRACING FRAGILITY"
D.30.31.013c,ea,roof,0,2,0.1,lognormal,,,MEP,Chiller - Capacity: < 100 Ton - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Combined anchorage/isolator & equipment fragility
D.30.31.023c,ea,roof,0,2,0.1,lognormal,,,MEP,Cooling Tower - Capacity: < 100 Ton - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Combined anchorage/isolator & equipment fragility
D.30.41.011c,ft,all,0,1125,0.1,lognormal,,,MEP,"HVAC Galvanized Sheet Metal Ducting less than 6 sq. ft in cross sectional area, SDC D, E, or F"
